Starting VQ-VAE training on healthy data...
Epoch 1/500, Loss: 4801.956590472624
Epoch 2/500, Loss: 3785.5459836762525
Epoch 3/500, Loss: 1249.2587974811422
Epoch 4/500, Loss: 709.2333289837015
Epoch 5/500, Loss: 429.30907808501144
Epoch 6/500, Loss: 238.14112262068124
Epoch 7/500, Loss: 118.8096660745555
Epoch 8/500, Loss: 63.92269121367356
Epoch 9/500, Loss: 45.48395104243838
Epoch 10/500, Loss: 35.12357920613782
Epoch 11/500, Loss: 29.06713212769607
Epoch 12/500, Loss: 23.20152259695119
Epoch 13/500, Loss: 18.855577551085375
Epoch 14/500, Loss: 15.575298358654154
Epoch 15/500, Loss: 13.35773833866777
Epoch 16/500, Loss: 11.897183303175302
Epoch 17/500, Loss: 10.381631826532297
Epoch 18/500, Loss: 9.531930516506064
Epoch 19/500, Loss: 8.256558175744681
Epoch 20/500, Loss: 7.363483930456227
Epoch 21/500, Loss: 6.651915903749137
Epoch 22/500, Loss: 5.944760408894769
Epoch 23/500, Loss: 5.253501555015301
Epoch 24/500, Loss: 4.74821472373502
Epoch 25/500, Loss: 4.273394031771298
Epoch 26/500, Loss: 3.8730308166865646
Epoch 27/500, Loss: 3.8005957829541175
Epoch 28/500, Loss: 3.4030965073355315
Epoch 29/500, Loss: 3.0627990056728494
Epoch 30/500, Loss: 2.871833680004909
Epoch 31/500, Loss: 6.334239793234858
Epoch 32/500, Loss: 6.056843874783351
Epoch 33/500, Loss: 3.519704385050412
Epoch 34/500, Loss: 2.996668889604766
Epoch 35/500, Loss: 2.6024813898678483
Epoch 36/500, Loss: 2.440180099216001
Epoch 37/500, Loss: 2.26253549497703
Epoch 38/500, Loss: 2.023285555428472
Epoch 39/500, Loss: 1.9162320957101624
Epoch 40/500, Loss: 1.9002437488786106
Epoch 41/500, Loss: 1.7542544541687801
Epoch 42/500, Loss: 1.659089712233379
Epoch 43/500, Loss: 1.5716344714164734
Epoch 44/500, Loss: 1.5892361443618248
Epoch 45/500, Loss: 1.48154593644471
Epoch 46/500, Loss: 1.410820608508998
Epoch 47/500, Loss: 1.372025134748426
Epoch 48/500, Loss: 1.3633383466251965
Epoch 49/500, Loss: 1.2970068634584033
Epoch 50/500, Loss: 1.2962538214593098
Epoch 51/500, Loss: 1.3391018175873264
Epoch 52/500, Loss: 1.2753146131490838
Epoch 53/500, Loss: 1.3281230695288757
Epoch 54/500, Loss: 1.2849804830962215
Epoch 55/500, Loss: 1.2089322430306468
Epoch 56/500, Loss: 1.147740666208596
Epoch 57/500, Loss: 2.440393136493091
Epoch 58/500, Loss: 3.8071209243659316
Epoch 59/500, Loss: 1.7932206382011544
Epoch 60/500, Loss: 1.3863662948896145
Epoch 61/500, Loss: 1.102650810932291
Epoch 62/500, Loss: 1.0106080482745994
Epoch 63/500, Loss: 0.9344603707050455
Epoch 64/500, Loss: 0.9124290316269316
Epoch 65/500, Loss: 0.8429721629825132
Epoch 66/500, Loss: 0.8503806472852312
Epoch 67/500, Loss: 0.8630404996460882
Epoch 68/500, Loss: 0.8667113693623707
